id,worth in Billion USD,age,gender,Country,image,name,industry,company_name,GDP in Billions USD
9926,1.7,80.0,None,Italy,https://specials-images.forbesimg.com/imageserve/5a7f9ca631358e4955ad1e8d/416x416.jpg?background=000000&cropX1=3&cropX2=596&cropY1=32&cropY2=626,Paolo Bulgari,Fashion & Retail , luxury goods,2073.902
8318,1.1,59.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f913031358e4955ad1e09/416x416.jpg?background=000000&cropX1=1812&cropX2=4410&cropY1=14&cropY2=2611,Guido Barilla,Food and Beverage , Barilla pasta,2073.902
1488,1.1,57.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f9c4b31358e4955ad1e84/416x416.jpg?background=000000&cropX1=1162&cropX2=3786&cropY1=6&cropY2=2629,Paolo Barilla,Food and Beverage , Barilla pasta,2073.902
8078,20.1,89.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,Lui Che Woo,Gambling & Casinos , casinos,362.99300000000005
2021,16.5,,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915,Thomas & Raymond Kwok,Real Estate , real estate,362.99300000000005
4374,11.2,53.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6a88a7ea43169013252c/416x416.jpg?background=000000&cropX1=1000&cropX2=4170&cropY1=0&cropY2=3167,Gong Hongjia,Finance and Investments , video surveillance,362.99300000000005
1803,8.0,67.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/561fab67e4b0ffa7afe5e19a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792,Hui Wing Mau,Real Estate , real estate,362.99300000000005
3844,8.0,67.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579ed2a7ea431690109bf9/416x416.jpg?background=000000&cropX1=583&cropX2=2566&cropY1=11&cropY2=1995,Walter Kwok,Real Estate , real estate,362.99300000000005
1291,7.8,48.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/561f080ce4b0ffa7afe5df56/416x416.jpg?background=000000&cropX1=108&cropX2=647&cropY1=82&cropY2=622,Zhou Qunfei,Technology , smartphone screens,362.99300000000005
4632,7.3,76.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579f6da7ea431690109c1c/416x416.jpg?background=000000&cropX1=3&cropX2=1733&cropY1=435&cropY2=2165,Michael Kadoorie,Energy ," hotels, energy",362.99300000000005
5021,5.6,54.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/56fc2c24e4b009bee2227b07/416x416.jpg?background=000000&cropX1=16&cropX2=733&cropY1=24&cropY2=741,Yeung Kin-Man,Manufacturing , electronics,362.99300000000005
4546,5.5,55.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a57a031a7ea431690109c30/416x416.jpg?background=000000&cropX1=0&cropX2=1584&cropY1=133&cropY2=1716,Pan Sutong,Real Estate ," real estate, finance",362.99300000000005
5131,5.4,,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a8709334bbe6f2652f5bfdb/416x416.jpg?background=000000&cropX1=86&cropX2=713&cropY1=111&cropY2=737,Lam Wai Ying,Manufacturing , smartphone screens,362.99300000000005
9762,5.3,55.0,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e73f131358e4955ad1472/416x416.jpg?background=000000&cropX1=185&cropX2=1587&cropY1=304&cropY2=1707,Pansy Ho,Gambling & Casinos , casinos,362.99300000000005
7172,4.5,74.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/f4143f928bec51caf481ad44beb7d878/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=140&cropY2=881,Ye Chenghai,Healthcare , pharmaceuticals,362.99300000000005
8810,3.4,69.0,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/5877c2664bbe6f1f20eaced8/416x416.jpg?background=000000&cropX1=68&cropX2=667&cropY1=343&cropY2=942,Rita Tong Liu,Real Estate , real estate,362.99300000000005
7352,3.0,48.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7d0c23a7ea431690130dfd/416x416.jpg?background=000000&cropX1=0&cropX2=3636&cropY1=167&cropY2=3801,Wu Kaiting,Telecom , electronics,362.99300000000005
2815,2.8,76.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/58c8649e31358e1a35ad0166/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768,Tung Chee Chen,Logistics , shipping,362.99300000000005
7667,2.5,41.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6d914bbe6f2652f52a79/416x416.jpg?background=000000&cropX1=686&cropX2=3355&cropY1=6&cropY2=2672,Lawrence Ho,Gambling & Casinos , casinos,362.99300000000005
5719,2.5,67.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5877c684a7ea431d601ca180/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=371&cropY2=1115,Or Wai Sheun,Real Estate , real estate,362.99300000000005
8772,2.4,48.0,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/913c271ffb6af89c53465bf2b73b8992/416x416.jpg?background=000000&cropX1=34&cropX2=623&cropY1=0&cropY2=590,Chu Lam Yiu,Manufacturing , flavorings,362.99300000000005
7557,2.3,45.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e720a31358e4955ad146c/416x416.jpg?background=000000&cropX1=86&cropX2=1956&cropY1=11&cropY2=1882,Martin Lau,Technology , e-commerce,362.99300000000005
7679,2.3,84.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/ee23fdb58f29cd8fe57e874e89eea4ff/416x416.jpg?background=000000&cropX1=35&cropX2=678&cropY1=124&cropY2=767,Tang Yiu,Fashion & Retail , fashion retail,362.99300000000005
